Left_distance_reading, Front_distance_reading, Left_motor_speed, Right_motor_speed
488.559,2076.69,115.0,124.90799999999999
493.25300000000004,2068.34,115.0,126.11399999999999
490.287,2065.52,115.0,125.351
488.207,2053.69,115.0,124.81700000000001
492.543,2033.36,115.0,125.931
492.6,2022.42,115.0,125.946
490.204,2025.45,115.0,125.33
489.48400000000004,2013.61,115.0,125.145
487.24199999999996,2078.54,115.0,124.569
484.861,2066.51,115.0,123.95700000000001
487.35,2074.7,115.0,124.59700000000001
487.35,2062.68,115.0,124.59700000000001
485.509,2063.54,115.0,124.124
485.509,2051.51,115.0,124.124
484.79699999999997,2051.51,115.0,123.941
484.79699999999997,2039.52,115.0,123.941
484.981,2039.52,115.0,123.988
484.191,2037.47,115.0,123.785
485.69300000000004,2021.46,115.0,124.171
483.709,2009.43,115.0,123.661
473.46,2010.48,115.0,121.02799999999999
471.68800000000005,1998.45,115.0,120.573
480.559,1990.1,115.0,122.852
480.559,1978.07,115.0,122.852
478.652,1978.07,115.0,122.36200000000001
476.38199999999995,1974.48,115.0,121.779
477.898,1965.4,115.0,122.16799999999999
476.89300000000003,1940.65,115.0,121.91
476.89300000000003,1928.85,115.0,121.91
475.84,1928.85,115.0,121.64
480.12300000000005,1906.31,115.0,122.74
481.88199999999995,1888.38,115.0,123.19200000000001
481.225,1876.59,115.0,123.023
477.18199999999996,1869.34,115.0,121.984
477.16900000000004,1849.11,115.0,121.98100000000001
476.686,1837.31,115.0,121.85700000000001
476.99800000000005,1852.33,115.0,121.93700000000001
476.99800000000005,1840.41,115.0,121.93700000000001
476.589,1840.41,115.0,121.83200000000001
470.46,1813.65,115.0,120.257
395.467,1801.86,117.096,115.0
409.961,1826.33,115.0,115.0
372.94699999999995,1814.54,127.512,115.0
372.94699999999995,1802.75,127.512,115.0
349.68699999999995,1802.75,138.27,115.0
352.43199999999996,1799.22,137.0,115.0
336.601,1787.42,144.322,115.0
326.879,1774.52,148.819,115.0
320.311,1780.37,151.856,115.0
311.33799999999997,1766.59,156.006,115.0
312.621,1745.87,155.41299999999998,115.0
312.621,1732.11,155.41299999999998,115.0
308.236,1732.11,157.441,115.0
304.25,1828.74,159.285,115.0
300.531,1814.76,161.004,115.0
303.274,1732.38,159.736,115.0
299.01599999999996,1719.62,161.705,115.0
293.531,1764.0,164.24200000000002,115.0
291.404,1750.0,165.226,115.0
288.672,1755.59,166.489,115.0
285.88,1740.6,167.78,115.0
289.587,1749.46,166.06599999999997,115.0
289.587,1735.47,166.06599999999997,115.0
288.168,1735.47,166.72299999999998,115.0
284.97,1754.49,168.202,115.0
